,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,District,Income,y
127,Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2001,83,82,98.8,80,96.4,97.6,16,19.3,19.5,64,77.09999999999998,78.0,2,2.4,2.4,0,0.0,1,1.2,M,02,92628,99.0
128,Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2002,102,101,99.0,97,95.1,96.0,64,62.7,63.4,33,32.4,32.7,4,3.9,4.0,0,0.0,0,0.0,M,02,92628,98.1
129,Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2003,104,102,98.1,97,93.3,95.1,75,72.09999999999998,73.5,22,21.2,21.6,5,4.8,4.9,2,1.9,0,0.0,M,02,92628,97.1
130,Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2004,102,99,97.1,92,90.2,92.9,57,55.9,57.6,35,34.3,35.4,7,6.9,7.1,2,2.0,1,1.0,M,02,92628,95.5
131,Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2005,133,127,95.5,118,88.7,92.9,77,57.9,60.6,41,30.8,32.3,9,6.8,7.1,4,3.0,2,1.5,M,02,92628,95.2
132,Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2006,124,118,95.2,106,85.5,89.8,62,50.0,52.5,44,35.5,37.3,12,9.7,10.2,4,3.2,2,1.6,M,02,92628,
133,Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2001,71,67,94.4,67,94.4,100.0,0,0.0,0.0,67,94.4,100.0,0,0.0,0.0,3,4.2,0,0.0,M,02,92628,76.7
134,Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2002,73,56,76.7,56,76.7,100.0,0,0.0,0.0,56,76.7,100.0,0,0.0,0.0,14,19.2,3,4.1,M,02,92628,92.4
135,Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2003,92,85,92.4,84,91.3,98.8,0,0.0,0.0,84,91.3,98.8,1,1.1,1.2,5,5.4,2,2.2,M,02,92628,78.09999999999998
136,Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2004,96,75,78.09999999999998,75,78.09999999999998,100.0,0,0.0,0.0,75,78.09999999999998,100.0,0,0.0,0.0,21,21.9,0,0.0,M,02,92628,86.9
137,Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2005,84,73,86.9,73,86.9,100.0,0,0.0,0.0,73,86.9,100.0,0,0.0,0.0,9,10.7,2,2.4,M,02,92628,78.9
138,Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006,95,75,78.9,75,78.9,100.0,0,0.0,0.0,75,78.9,100.0,0,0.0,0.0,17,17.9,2,2.1,M,02,92628,
139,Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2001,53,45,84.9,45,84.9,100.0,5,9.4,11.1,40,75.5,88.9,0,0.0,0.0,8,15.1,0,0.0,M,02,92628,76.8
140,Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2002,56,43,76.8,39,69.6,90.7,10,17.9,23.3,29,51.8,67.4,4,7.1,9.3,9,16.1,3,5.4,M,02,92628,73.09999999999998
141,Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2003,52,38,73.09999999999998,33,63.5,86.8,7,13.5,18.4,26,50.0,68.4,5,9.6,13.2,12,23.1,2,3.8,M,02,92628,92.0
142,Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2004,75,69,92.0,58,77.3,84.1,6,8.0,8.7,52,69.3,75.4,11,14.7,15.9,3,4.0,3,4.0,M,02,92628,94.0
143,Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2005,100,94,94.0,80,80.0,85.1,27,27.0,28.7,53,53.0,56.4,14,14.0,14.9,6,6.0,0,0.0,M,02,92628,96.2
144,Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2006,106,102,96.2,86,81.09999999999998,84.3,5,4.7,4.9,81,76.4,79.4,16,15.1,15.7,1,0.9,2,1.9,M,02,92628,
145,Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2001,2,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,97.0
146,Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2002,101,98,97.0,97,96.0,99.0,0,0.0,0.0,97,96.0,99.0,1,1.0,1.0,2,2.0,1,1.0,M,02,92628,99.1
147,Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2003,117,116,99.1,115,98.3,99.1,77,65.8,66.4,38,32.5,32.8,1,0.9,0.9,1,0.9,0,0.0,M,02,92628,100.0
148,Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2004,105,105,100.0,101,96.2,96.2,69,65.7,65.7,32,30.5,30.5,4,3.8,3.8,0,0.0,0,0.0,M,02,92628,99.1
149,Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2005,115,114,99.1,113,98.3,99.1,76,66.1,66.7,37,32.2,32.5,1,0.9,0.9,0,0.0,0,0.0,M,02,92628,100.0
150,Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,127,127,100.0,126,99.2,99.2,110,86.6,86.6,16,12.6,12.6,1,0.8,0.8,0,0.0,0,0.0,M,02,92628,
151,Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2002,91,82,90.1,68,74.7,82.9,0,0.0,0.0,68,74.7,82.9,14,15.4,17.1,8,8.800000000000002,1,1.1,M,02,92628,88.8
152,Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2003,107,95,88.8,82,76.59999999999998,86.3,21,19.6,22.1,61,57.0,64.2,13,12.1,13.7,11,10.3,1,0.9,M,02,92628,96.2
153,Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2004,105,101,96.2,89,84.8,88.1,22,21.0,21.8,67,63.8,66.3,12,11.4,11.9,2,1.9,2,1.9,M,02,92628,96.7
154,Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2005,123,119,96.7,106,86.2,89.1,15,12.2,12.6,91,74.0,76.5,13,10.6,10.9,4,3.3,0,0.0,M,02,92628,99.3
155,Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2006,150,149,99.3,140,93.3,94.0,68,45.3,45.6,72,48.0,48.3,9,6.0,6.0,1,0.7,0,0.0,M,02,92628,
156,Total Cohort,02M419,LANDMARK HIGH SCHOOL,2001,79,48,60.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,48,60.8,100.0,21,26.6,8,10.1,M,02,92628,61.1
157,Total Cohort,02M419,LANDMARK HIGH SCHOOL,2002,95,58,61.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,58,61.1,100.0,22,23.2,15,15.8,M,02,92628,60.3
158,Total Cohort,02M419,LANDMARK HIGH SCHOOL,2003,78,47,60.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,47,60.3,100.0,12,15.4,18,23.1,M,02,92628,52.0
159,Total Cohort,02M419,LANDMARK HIGH SCHOOL,2004,100,52,52.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,52,52.0,100.0,33,33.0,12,12.0,M,02,92628,61.2
160,Total Cohort,02M419,LANDMARK HIGH SCHOOL,2005,98,60,61.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,60,61.2,100.0,26,26.5,7,7.1,M,02,92628,64.9
161,Total Cohort,02M419,LANDMARK HIGH SCHOOL,2006,94,61,64.9,61,64.9,100.0,0,0.0,0.0,61,64.9,100.0,0,0.0,0.0,14,14.9,13,13.8,M,02,92628,
162,Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2001,307,235,76.5,203,66.1,86.4,52,16.9,22.1,151,49.2,64.3,32,10.4,13.6,41,13.4,28,9.1,M,02,92628,81.8
163,Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2002,307,251,81.8,194,63.2,77.3,55,17.9,21.9,139,45.3,55.4,57,18.6,22.7,28,9.1,22,7.2,M,02,92628,74.8
164,Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2003,246,184,74.8,112,45.5,60.9,21,8.5,11.4,91,37.0,49.5,72,29.3,39.1,47,19.1,11,4.5,M,02,92628,77.0
165,Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2004,269,207,77.0,171,63.6,82.6,48,17.8,23.2,123,45.7,59.4,36,13.4,17.4,58,21.6,1,0.4,M,02,92628,73.8
166,Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2005,344,254,73.8,213,61.9,83.9,45,13.1,17.7,168,48.8,66.1,41,11.9,16.1,80,23.3,1,0.3,M,02,92628,86.2
167,Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2006,341,294,86.2,250,73.3,85.0,49,14.4,16.7,201,58.9,68.4,44,12.9,15.0,36,10.6,2,0.6,M,02,92628,
168,Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2001,120,84,70.0,15,12.5,17.9,0,0.0,0.0,15,12.5,17.9,69,57.5,82.1,15,12.5,14,11.7,M,02,92628,69.4
169,Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2002,121,84,69.4,47,38.8,56.0,19,15.7,22.6,28,23.1,33.3,37,30.6,44.0,8,6.6,19,15.7,M,02,92628,57.1
170,Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2003,170,97,57.1,46,27.1,47.4,2,1.2,2.1,44,25.9,45.4,51,30.0,52.6,28,16.5,27,15.9,M,02,92628,59.6
171,Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2004,151,90,59.6,45,29.8,50.0,10,6.6,11.1,35,23.2,38.9,45,29.8,50.0,22,14.6,29,19.2,M,02,92628,50.3
172,Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2005,143,72,50.3,25,17.5,34.7,0,0.0,0.0,25,17.5,34.7,47,32.9,65.3,35,24.5,27,18.9,M,02,92628,64.6
173,Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2006,144,93,64.6,66,45.8,71.0,9,6.3,9.7,57,39.6,61.3,27,18.8,29.0,17,11.8,23,16.0,M,02,92628,
174,Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2001,75,16,21.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,16,21.3,100.0,36,48.0,21,28.0,M,02,92628,33.3
175,Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2002,75,25,33.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,36.0,108.0,27,36.0,21,28.0,M,02,92628,36.8
176,Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2003,76,28,36.8,2,2.6,7.1,0,0.0,0.0,2,2.6,7.1,26,34.2,92.9,29,38.2,16,21.1,M,02,92628,38.0
177,Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2004,71,27,38.0,3,4.2,11.1,0,0.0,0.0,3,4.2,11.1,24,33.8,88.9,19,26.8,24,33.8,M,02,92628,50.5
178,Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2005,93,47,50.5,18,19.4,38.3,3,3.2,6.4,15,16.1,31.9,29,31.2,61.7,30,32.3,10,10.8,M,02,92628,58.9
179,Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2006,73,43,58.9,17,23.3,39.5,0,0.0,0.0,17,23.3,39.5,26,35.6,60.5,14,19.2,5,6.8,M,02,92628,
180,Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2001,63,54,85.7,33,52.4,61.1,0,0.0,0.0,33,52.4,61.1,21,33.3,38.9,5,7.9,1,1.6,M,02,92628,75.0
181,Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2002,80,60,75.0,47,58.8,78.3,0,0.0,0.0,47,58.8,78.3,13,16.3,21.7,15,18.8,1,1.3,M,02,92628,88.4
182,Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2003,86,76,88.4,56,65.1,73.7,3,3.5,3.9,53,61.6,69.7,20,23.3,26.3,7,8.1,2,2.3,M,02,92628,89.7
183,Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2004,87,78,89.7,64,73.59999999999998,82.1,7,8.0,9.0,57,65.5,73.09999999999998,14,16.1,17.9,4,4.6,4,4.6,M,02,92628,98.6
184,Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2005,74,73,98.6,67,90.5,91.8,17,23.0,23.3,50,67.6,68.5,6,8.1,8.2,1,1.4,0,0.0,M,02,92628,98.2
185,Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2006,110,108,98.2,106,96.4,98.1,45,40.9,41.7,61,55.5,56.5,2,1.8,1.9,0,0.0,0,0.0,M,02,92628,
186,Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2001,515,265,51.5,121,23.5,45.7,44,8.5,16.6,77,15.0,29.1,144,28.0,54.3,128,24.9,109,21.2,M,02,92628,41.2
187,Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2002,510,210,41.2,102,20.0,48.6,34,6.7,16.2,68,13.3,32.4,108,21.2,51.4,195,38.2,88,17.3,M,02,92628,32.2
188,Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2003,407,131,32.2,41,10.1,31.3,16,3.9,12.2,25,6.1,19.1,90,22.1,68.7,175,43.0,92,22.6,M,02,92628,48.2
189,Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2004,417,201,48.2,54,12.9,26.9,19,4.6,9.5,35,8.4,17.4,147,35.3,73.09999999999998,129,30.9,78,18.7,M,02,92628,51.0
190,Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2005,400,204,51.0,85,21.3,41.7,10,2.5,4.9,75,18.8,36.8,119,29.8,58.3,123,30.8,55,13.8,M,02,92628,46.8
191,Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,365,171,46.8,82,22.5,48.0,8,2.2,4.7,74,20.3,43.3,89,24.4,52.0,100,27.4,68,18.6,M,02,92628,
192,Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
193,Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
194,Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2003,4,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
195,Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
196,Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2005,3,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
197,Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2001,329,105,31.9,34,10.3,32.4,0,0.0,0.0,34,10.3,32.4,71,21.6,67.6,89,27.1,109,33.1,M,02,92628,58.2
198,Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2002,201,117,58.2,45,22.4,38.5,0,0.0,0.0,45,22.4,38.5,74,36.8,63.2,12,6.0,62,30.8,M,02,92628,
199,Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2003,2,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
200,Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2004,3,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
201,Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
202,Total Cohort,02M449,VANGUARD HIGH SCHOOL,2001,90,48,53.3,18,20.0,37.5,0,0.0,0.0,18,20.0,37.5,30,33.3,62.5,32,35.6,10,11.1,M,02,92628,66.7
203,Total Cohort,02M449,VANGUARD HIGH SCHOOL,2002,39,26,66.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,26,66.7,100.0,5,12.8,7,17.9,M,02,92628,65.6
204,Total Cohort,02M449,VANGUARD HIGH SCHOOL,2003,61,40,65.6,27,44.3,67.5,0,0.0,0.0,27,44.3,67.5,13,21.3,32.5,11,18.0,9,14.8,M,02,92628,47.1
205,Total Cohort,02M449,VANGUARD HIGH SCHOOL,2004,68,32,47.1,30,44.1,93.8,0,0.0,0.0,30,44.1,93.8,2,2.9,6.3,26,38.2,5,7.4,M,02,92628,78.9
206,Total Cohort,02M449,VANGUARD HIGH SCHOOL,2005,76,60,78.9,56,73.7,93.3,0,0.0,0.0,56,73.7,93.3,4,5.3,6.7,13,17.1,0,0.0,M,02,92628,59.6
207,Total Cohort,02M449,VANGUARD HIGH SCHOOL,2006,89,53,59.6,51,57.3,96.2,0,0.0,0.0,51,57.3,96.2,2,2.2,3.8,28,31.5,3,3.4,M,02,92628,
208,Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2001,53,34,64.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,34,64.2,100.0,16,30.2,3,5.7,M,02,92628,60.0
209,Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2002,55,33,60.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,33,60.0,100.0,17,30.9,4,7.3,M,02,92628,57.1
210,Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2003,91,52,57.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,52,57.1,100.0,32,35.20000000000001,5,5.5,M,02,92628,63.6
211,Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2004,66,42,63.6,31,47.0,73.8,0,0.0,0.0,31,47.0,73.8,11,16.7,26.2,20,30.3,4,6.1,M,02,92628,52.9
212,Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2005,68,36,52.9,34,50.0,94.4,0,0.0,0.0,34,50.0,94.4,2,2.9,5.6,22,32.4,7,10.3,M,02,92628,59.4
213,Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2006,69,41,59.4,41,59.4,100.0,0,0.0,0.0,41,59.4,100.0,0,0.0,0.0,20,29.0,5,7.2,M,02,92628,
214,Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2001,562,243,43.2,93,16.5,38.3,23,4.1,9.5,70,12.5,28.8,150,26.7,61.7,161,28.6,154,27.4,M,02,92628,45.5
215,Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2002,633,288,45.5,124,19.6,43.1,4,0.6,1.4,120,19.0,41.7,164,25.9,56.9,183,28.9,140,22.1,M,02,92628,42.7
216,Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2003,623,266,42.7,142,22.8,53.4,18,2.9,6.8,124,19.9,46.6,124,19.9,46.6,200,32.1,141,22.6,M,02,92628,36.6
217,Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2004,588,215,36.6,99,16.8,46.0,23,3.9,10.7,76,12.9,35.3,116,19.7,54.0,211,35.9,144,24.5,M,02,92628,36.6
218,Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2005,435,159,36.6,84,19.3,52.8,5,1.1,3.1,79,18.2,49.7,75,17.2,47.2,96,22.1,145,33.3,M,02,92628,53.5
219,Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2006,443,237,53.5,180,40.6,75.9,12,2.7,5.1,168,37.9,70.90000000000002,57,12.9,24.1,54,12.2,118,26.6,M,02,92628,
220,Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2001,765,748,97.8,748,97.8,100.0,744,97.3,99.5,4,0.5,0.5,0,0.0,0.0,15,2.0,2,0.3,M,02,92628,96.0
221,Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2002,779,748,96.0,748,96.0,100.0,738,94.7,98.7,10,1.3,1.3,0,0.0,0.0,23,3.0,4,0.5,M,02,92628,97.2
222,Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2003,690,671,97.2,671,97.2,100.0,668,96.8,99.6,3,0.4,0.4,0,0.0,0.0,18,2.6,1,0.1,M,02,92628,97.8
223,Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2004,694,679,97.8,679,97.8,100.0,674,97.1,99.3,5,0.7,0.7,0,0.0,0.0,14,2.0,1,0.1,M,02,92628,96.5
224,Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2005,781,754,96.5,754,96.5,100.0,747,95.6,99.1,7,0.9,0.9,0,0.0,0.0,22,2.8,4,0.5,M,02,92628,99.1
225,Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2006,787,780,99.1,780,99.1,100.0,772,98.1,99.0,8,1.0,1.0,0,0.0,0.0,4,0.5,3,0.4,M,02,92628,
226,Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2001,113,93,82.3,64,56.6,68.8,27,23.9,29.0,37,32.7,39.8,29,25.7,31.2,12,10.6,8,7.1,M,02,92628,82.4
227,Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2002,148,122,82.4,92,62.2,75.4,27,18.2,22.1,65,43.9,53.3,30,20.3,24.6,12,8.1,13,8.800000000000002,M,02,92628,74.3
228,Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2003,136,101,74.3,75,55.1,74.3,1,0.7,1.0,74,54.4,73.3,26,19.1,25.7,21,15.4,12,8.800000000000002,M,02,92628,78.8
229,Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2004,146,115,78.8,79,54.1,68.7,34,23.3,29.6,45,30.8,39.1,36,24.7,31.3,19,13.0,12,8.2,M,02,92628,70.1
230,Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2005,134,94,70.1,74,55.2,78.7,23,17.2,24.5,51,38.1,54.3,20,14.9,21.3,21,15.7,15,11.2,M,02,92628,84.7
231,Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2006,177,150,84.7,121,68.4,80.7,43,24.3,28.7,78,44.1,52.0,29,16.4,19.3,8,4.5,13,7.3,M,02,92628,
232,Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2001,43,14,32.6,9,20.9,64.3,0,0.0,0.0,9,20.9,64.3,5,11.6,35.70000000000001,20,46.5,9,20.9,M,02,92628,31.9
233,Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2002,47,15,31.9,15,31.9,100.0,0,0.0,0.0,15,31.9,100.0,0,0.0,0.0,12,25.5,17,36.2,M,02,92628,40.0
234,Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2003,30,12,40.0,9,30.0,75.0,0,0.0,0.0,9,30.0,75.0,3,10.0,25.0,10,33.3,8,26.7,M,02,92628,52.5
235,Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2004,40,21,52.5,12,30.0,57.1,0,0.0,0.0,12,30.0,57.1,9,22.5,42.9,16,40.0,3,7.5,M,02,92628,51.2
236,Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2005,41,21,51.2,8,19.5,38.1,0,0.0,0.0,8,19.5,38.1,13,31.7,61.9,13,31.7,6,14.6,M,02,92628,73.59999999999998
237,Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,53,39,73.59999999999998,31,58.5,79.5,4,7.5,10.3,27,50.9,69.2,8,15.1,20.5,7,13.2,6,11.3,M,02,92628,
238,Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2001,67,62,92.5,48,71.6,77.4,0,0.0,0.0,48,71.6,77.4,14,20.9,22.6,1,1.5,1,1.5,M,02,92628,83.8
239,Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2002,80,67,83.8,60,75.0,89.6,15,18.8,22.4,45,56.3,67.2,7,8.800000000000002,10.4,8,10.0,5,6.3,M,02,92628,88.8
240,Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2003,134,119,88.8,96,71.6,80.7,49,36.6,41.2,47,35.1,39.5,23,17.2,19.3,12,9.0,3,2.2,M,02,92628,86.2
241,Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2004,94,81,86.2,67,71.3,82.7,36,38.3,44.4,31,33.0,38.3,14,14.9,17.3,11,11.7,2,2.1,M,02,92628,89.1
242,Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2005,92,82,89.1,66,71.7,80.5,18,19.6,22.0,48,52.2,58.5,16,17.4,19.5,10,10.9,0,0.0,M,02,92628,93.4
243,Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2006,136,127,93.4,120,88.2,94.5,36,26.5,28.3,84,61.8,66.1,7,5.1,5.5,8,5.9,0,0.0,M,02,92628,
244,Total Cohort,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2001,597,404,67.7,330,55.3,81.7,56,9.4,13.9,274,45.9,67.8,74,12.4,18.3,100,16.8,73,12.2,M,02,92628,65.8
245,Total Cohort,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2002,535,352,65.8,287,53.6,81.5,79,14.8,22.4,208,38.9,59.1,65,12.1,18.5,100,18.7,73,13.6,M,02,92628,57.1
246,Total Cohort,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2003,525,300,57.1,226,43.0,75.3,150,28.6,50.0,76,14.5,25.3,74,14.1,24.7,107,20.4,104,19.8,M,02,92628,50.1
247,Total Cohort,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2004,611,306,50.1,218,35.70000000000001,71.2,156,25.5,51.0,62,10.1,20.3,88,14.4,28.8,178,29.1,117,19.1,M,02,92628,57.8
248,Total Cohort,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2005,585,338,57.8,245,41.9,72.5,37,6.3,10.9,208,35.6,61.5,93,15.9,27.5,145,24.8,73,12.5,M,02,92628,60.6
249,Total Cohort,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2006,637,386,60.6,278,43.6,72.0,31,4.9,8.0,247,38.8,64.0,108,17.0,28.0,154,24.2,74,11.6,M,02,92628,
250,Total Cohort,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,2001,106,69,65.1,40,37.7,58.0,4,3.8,5.8,36,34.0,52.2,29,27.4,42.0,28,26.4,6,5.7,M,02,92628,72.9
251,Total Cohort,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,2002,144,105,72.9,66,45.8,62.9,6,4.2,5.7,60,41.7,57.1,39,27.1,37.1,26,18.1,8,5.6,M,02,92628,54.4
252,Total Cohort,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,2003,147,80,54.4,50,34.0,62.5,7,4.8,8.800000000000002,43,29.3,53.8,30,20.4,37.5,51,34.7,16,10.9,M,02,92628,64.2
